speaker_id,utterance_id,baseline_cosine,adapted_cosine,cosine_improvement
p253,p253_017,-0.02633538469672203,0.3920488655567169,0.41838425025343895
p253,p253_018,-0.02796052396297455,0.3980740010738373,0.42603452503681183
p253,p253_020,0.07050016522407532,0.4267720878124237,0.3562719225883484
p253,p253_021,-0.003061095252633095,0.3774654269218445,0.3805265221744776
p253,p253_023,0.02712993696331978,0.42693960666656494,0.39980966970324516
p253,p253_024,-0.027765993028879166,0.4073694944381714,0.43513548746705055
p253,p253_025,0.13415908813476562,0.36515024304389954,0.2309911549091339
p253,p253_026,0.04884381964802742,0.3560675084590912,0.30722368881106377
p253,p253_027,-0.048983197659254074,0.3597666025161743,0.4087498001754284
p253,p253_028,-0.009559735655784607,0.40554434061050415,0.41510407626628876
p253,p253_029,0.05969209969043732,0.4252309501171112,0.3655388504266739
p253,p253_030,-0.024363376200199127,0.3659926950931549,0.39035607129335403
p253,p253_031,0.2130807787179947,0.4172474145889282,0.20416663587093353
p253,p253_032,0.09327893704175949,0.37233999371528625,0.27906105667352676
p253,p253_033,0.15399497747421265,0.45079731941223145,0.2968023419380188
p253,p253_034,0.09591878950595856,0.45452407002449036,0.3586052805185318
p253,p253_035,0.03937455639243126,0.4451451301574707,0.40577057376503944
p253,p253_036,0.10325441509485245,0.4441415071487427,0.34088709205389023
p253,p253_037,0.12190475314855576,0.4103923738002777,0.28848762065172195
p253,p253_038,0.2252545803785324,0.511547863483429,0.28629328310489655
p253,p253_039,-0.04425513744354248,0.3303731083869934,0.3746282458305359
p253,p253_040,0.02601321041584015,0.4217975437641144,0.39578433334827423
p253,p253_041,-0.04356241971254349,0.36361831426620483,0.4071807339787483
p253,p253_042,0.03316974639892578,0.4356217682361603,0.4024520218372345
p253,p253_043,0.006329456344246864,0.3636021316051483,0.35727267526090145
p253,p253_044,0.018861906602978706,0.33530616760253906,0.31644426099956036
p253,p253_045,0.12196851521730423,0.463561087846756,0.34159257262945175
p253,p253_046,0.03187290206551552,0.41274309158325195,0.38087018951773643
p253,p253_047,0.06100144609808922,0.32724112272262573,0.2662396766245365
p253,p253_048,-0.02068481780588627,0.37132081389427185,0.3920056317001581
p340,p340_001,0.015261400490999222,0.26824983954429626,0.25298843905329704
p340,p340_002,0.1471829116344452,0.34456273913383484,0.19737982749938965
p340,p340_003,0.02855154499411583,0.3701714277267456,0.3416198827326298
p340,p340_004,0.09867872297763824,0.3086487948894501,0.20997007191181183
p340,p340_005,0.08972340822219849,0.31711509823799133,0.22739169001579285
p340,p340_006,0.04294012114405632,0.36362871527671814,0.3206885941326618
p340,p340_007,0.07999157160520554,0.3902357220649719,0.3102441504597664
p340,p340_008,0.014454763382673264,0.42152315378189087,0.4070683903992176
p340,p340_009,0.022924654185771942,0.3709014058113098,0.3479767516255379
